row_id,batch,duplicate_group_id,duplicate_group_size,duplicate_representative,excluded_duplicate_filenames,image_path,image_filename,doc_type,question,absent_target,answer,capability,answer_mode,final_label,verification_status,evidence_note,absence_evidence_type,absence_check_result,audit_caveat,image_sha256
docvqa-manual-not_found-001,,,,,,data/docminibench_v0_images/docvqa_01d154c30182e8aa.png,docvqa_01d154c30182e8aa.png,annual_report_financial_table,What is the fax number?,fax_number,NOT_FOUND,,,confirmed_absent,,No “Fax” or “Facsimile” label and no fax-labeled phone number is visible on the financial table page.,assistant_visual_manual_audit,,Manual visual audit from uploaded image; not OCR/metadata-mechanically verified. User should spot-check before final submission.,4df1ae84022a34264362853640c9bf0921a86dd8b19eab58cf2097f7a86ae948
docvqa-manual-not_found-002,,,,,,data/docminibench_v0_images/docvqa_01d154c30182e8aa.png,docvqa_01d154c30182e8aa.png,annual_report_financial_table,What is the shipping method?,shipping_method,NOT_FOUND,,,confirmed_absent,,"No “Shipping method”, “Ship via”, carrier, or delivery-method field is visible on the financial table page.",assistant_visual_manual_audit,,Manual visual audit from uploaded image; not OCR/metadata-mechanically verified. User should spot-check before final submission.,4df1ae84022a34264362853640c9bf0921a86dd8b19eab58cf2097f7a86ae948
docvqa-manual-not_found-003,,,,,,data/docminibench_v0_images/docvqa_0aa865d98956df99.png,docvqa_0aa865d98956df99.png,medical_radiograph_routing_log,What is the fax number?,fax_number,NOT_FOUND,,,confirmed_absent,,"The form contains patient/study/film/scanning/log fields, but no “Fax” or “Facsimile” field or fax-labeled phone number is visible.",assistant_visual_manual_audit,,Manual visual audit from uploaded image; not OCR/metadata-mechanically verified. User should spot-check before final submission.,4e827b875aae42a453aa3ed0915a366be3ea44ae9ec6eeff89a41eff91ad5d18
docvqa-manual-not_found-004,,,,,,data/docminibench_v0_images/docvqa_0aa865d98956df99.png,docvqa_0aa865d98956df99.png,medical_radiograph_routing_log,What is the vendor tax ID?,vendor_tax_id,NOT_FOUND,,,confirmed_absent,,"The medical routing log contains patient/study/log fields, but no vendor tax ID, VAT, GST, or tax-identifier field is visible.",assistant_visual_manual_audit,,Manual visual audit from uploaded image; not OCR/metadata-mechanically verified. User should spot-check before final submission.,4e827b875aae42a453aa3ed0915a366be3ea44ae9ec6eeff89a41eff91ad5d18
docvqa-manual-not_found-005,,,,,,data/docminibench_v0_images/docvqa_10f7f50191dcfe18.png,docvqa_10f7f50191dcfe18.png,tobacco_sample_packing_form,What is the fax number?,fax_number,NOT_FOUND,,,confirmed_absent,,"The page shows country, grade, dealer, quantities, and foreign-matter rows, but no “Fax” or “Facsimile” field is visible.",assistant_visual_manual_audit,,Manual visual audit from uploaded image; not OCR/metadata-mechanically verified. User should spot-check before final submission.,01b17ea34f95565203091da83a79e42b8ade4b829461f762fda61fdc471be592
docvqa-manual-not_found-006,,,,,,data/docminibench_v0_images/docvqa_10f7f50191dcfe18.png,docvqa_10f7f50191dcfe18.png,tobacco_sample_packing_form,What is the shipping method?,shipping_method,NOT_FOUND,,,confirmed_absent,,"The form lists dealer/packing/sample information but no “Shipping method”, carrier, or delivery-method field is visible.",assistant_visual_manual_audit,,Manual visual audit from uploaded image; not OCR/metadata-mechanically verified. User should spot-check before final submission.,01b17ea34f95565203091da83a79e42b8ade4b829461f762fda61fdc471be592
docvqa-manual-not_found-007,,,,,,data/docminibench_v0_images/docvqa_1191830223fa2dab.png,docvqa_1191830223fa2dab.png,annual_report_narrative_page,What is the fax number?,fax_number,NOT_FOUND,,,confirmed_absent,,"The page is a narrative annual-report section about ITC brands and shows no contact block, “Fax”, or fax-labeled phone number.",assistant_visual_manual_audit,,Manual visual audit from uploaded image; not OCR/metadata-mechanically verified. User should spot-check before final submission.,1b63e1ed4ec2e7da7b64c20393c674105b43613798ede1eeba4c029752c29273
docvqa-manual-not_found-008,,,,,,data/docminibench_v0_images/docvqa_1191830223fa2dab.png,docvqa_1191830223fa2dab.png,annual_report_narrative_page,What is the payment due date?,payment_due_date,NOT_FOUND,,,confirmed_absent,,The page is narrative annual-report text and contains no invoice/payment section or field labeled due date/payment due date.,assistant_visual_manual_audit,,Manual visual audit from uploaded image; not OCR/metadata-mechanically verified. User should spot-check before final submission.,1b63e1ed4ec2e7da7b64c20393c674105b43613798ede1eeba4c029752c29273
docvqa-manual-not_found-009,,,,,,data/docminibench_v0_images/docvqa_122e2b4f600058e0.png,docvqa_122e2b4f600058e0.png,taco_bell_forecast_slide,What is the fax number?,fax_number,NOT_FOUND,,,confirmed_absent,,"The slide contains Taco Bell forecast bullet points and source text, but no “Fax” or fax-labeled phone number is visible.",assistant_visual_manual_audit,,Manual visual audit from uploaded image; not OCR/metadata-mechanically verified. User should spot-check before final submission.,b3a57c6c161ec05437752b29fdaa7c6eb88f69b7b95e6f8a4216156085eb199d
docvqa-manual-not_found-010,,,,,,data/docminibench_v0_images/docvqa_122e2b4f600058e0.png,docvqa_122e2b4f600058e0.png,taco_bell_forecast_slide,What is the discount code?,discount_code,NOT_FOUND,,,confirmed_absent,,"The slide discusses forecast/growth/expansion and contains no discount, coupon, promo, or discount-code field.",assistant_visual_manual_audit,,Manual visual audit from uploaded image; not OCR/metadata-mechanically verified. User should spot-check before final submission.,b3a57c6c161ec05437752b29fdaa7c6eb88f69b7b95e6f8a4216156085eb199d
docvqa-manual-not_found-011,,,,,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,docvqa_144428ff617fe939.png,chart_page,What is the fax number?,fax_number,NOT_FOUND,,,confirmed_absent,,The page is a chart of motor vehicle accident mortality rate and contains no “Fax” or fax-labeled phone number.,assistant_visual_manual_audit,,Manual visual audit from uploaded image; not OCR/metadata-mechanically verified. User should spot-check before final submission.,4e2301684eeb1efca447fcd1c75cd8734582b2d8d8b99ac0690c71bc1c11d0f9
docvqa-manual-not_found-012,,,,,,data/docminibench_v0_images/docvqa_144428ff617fe939.png,docvqa_144428ff617fe939.png,chart_page,What is the vendor tax ID?,vendor_tax_id,NOT_FOUND,,,confirmed_absent,,"The chart page contains axes, title, and legend only; no vendor tax ID, VAT, GST, or tax-identifier field is visible.",assistant_visual_manual_audit,,Manual visual audit from uploaded image; not OCR/metadata-mechanically verified. User should spot-check before final submission.,4e2301684eeb1efca447fcd1c75cd8734582b2d8d8b99ac0690c71bc1c11d0f9
